,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,ttm
12,			OtherReceivables,"2,978,000,000","2,977,000,000","1,551,000,000","659,598,003","207,182,863","221,221,736","65,310,413","28,303,638","279,147,338",,"3,216,628","2,287,965","3,012,023","12,092,040.483","17,605,164.31","602,291.174","59,254.998","611,747.007","2,611,113.384",,,
13,		PrepaidAssets,"4,219,000,000","8,801,000,000","7,278,000,000","5,000,284,603","5,621,083,507","6,243,904,867","2,306,144,597","1,098,824,212","655,879,881","561,193,151","352,614,489","132,030,199","92,138,483","46,319,349.976","39,917,843.118","26,245,366.094","18,503,784.456","7,132,197.417","3,406,992.829",,,
14,		RestrictedCash,"1,319,000,000","1,824,000,000","4,244,000,000","1,748,796,431","1,744,490,307","2,286,882,592","836,394,951","739,543,614","768,228,577","211,636,294","224,179,126","113,150,289","6,600,000","6,609,482.977","6,594,415.928","6,602,702.064",,,,,,
15,		CurrentDeferredAssets,,,,,,,"193,503,366","96,979,500","61,840,526","39,782,201","37,136,184","23,446,059","8,840,772","11,291,966.207","2,913,684.028","2,136,046.263","1,009,404.498","541,391.01","593,215.491",,,
16,			CurrentDeferredTaxesAssets,,,,,,,"193,503,366","96,979,500","61,840,526","39,782,201","37,136,184","23,446,059","8,840,772","11,291,966.207","2,913,684.028","2,136,046.263","1,009,404.498","541,391.01","593,215.491",,,
17,		OtherCurrentAssets,"658,000,000","932,000,000","728,000,000","512,382,566","296,719,656","213,280,229","58,815,332","32,767,408","22,249,774",,,,,"5,169,417.947","5,293,972.27","17,247,708.696",,0,,,,
18,	TotalNonCurrentAssets,"129,238,000,000","132,214,000,000","106,436,000,000","102,821,657,164","98,502,459,828","78,241,723,529","14,214,234,089","6,452,754,594","4,026,531,495","3,362,892,263","3,545,295,563","1,850,463,881","929,259,312","578,131,898.771","398,048,323.905","184,661,936.1","69,851,435.329","48,021,043.183","37,748,276.586",,,
19,		NetPPE,"6,767,000,000","7,342,000,000","5,872,000,000","5,615,500,429","5,591,960,081","5,555,959,499","5,220,626,461","1,412,943,693","1,123,937,191","683,903,870","653,678,980","550,506,595","346,117,083","267,578,659.235","153,560,502.91","53,574,147.447","31,897,665.593","23,283,331.644","18,709,404.501",,,
20,			GrossPPE,"9,996,000,000","9,929,000,000","7,996,000,000","7,273,782,513","6,845,719,584","6,328,228,097","5,753,196,791","1,799,069,626","1,443,619,607","928,474,808","842,479,225","690,104,002","434,416,791","319,514,746.426","185,784,467.005","74,417,906.072","48,017,880.93","33,507,658.152","18,709,404.501",,,
21,				Properties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
22,				LandAndImprovements,,"94,000,000","97,000,000","99,761,364","102,544,772","104,528,181","107,468,868","110,659,284","113,460,899",,,,,,,,,,,,,
23,				BuildingsAndImprovements,"5,424,000,000","5,423,000,000","5,418,000,000","5,162,445,022","5,148,644,010","5,048,349,531","1,928,090,705","1,050,102,815","892,430,743","535,764,434","509,340,453","147,248,314","147,248,314","154,813,448.476","13,577,389.078","11,731,982.305","13,994,113.237","10,975,841.8",,,,
24,				MachineryFurnitureEquipment,"2,013,000,000","3,100,000,000","1,652,000,000","1,326,032,686","1,034,316,197","761,788,714","512,520,535","369,650,809","334,062,597","375,226,385","317,583,367","239,771,886","212,829,174","153,123,337.862","84,963,353.425","52,427,621.639","33,402,409.753","21,906,377.285",,,,
25,				OtherProperties,"2,389,000,000","1,207,000,000","771,000,000","637,528,902","536,705,335","377,457,565","246,791,832","135,116,574","107,209,531",,,,,"11,106,928.53","5,318,347.255","5,159,418.616","621,357.939","625,439.067",,,,
26,				ConstructionInProgress,"1,000,000","11,000,000","9,000,000","7,554,107","10,056,257","11,231,274","3,014,154,910","199,363,516","81,050,521","1,764,477",0,"293,914,287","66,605,760","471,031.558","81,925,377.248","5,098,883.513",,,,,,
27,				Leases,"169,000,000","188,000,000","146,000,000","140,221,796","115,997,785","129,401,013","51,638,809","44,835,912","28,866,215","15,719,512","15,555,405","9,169,515","7,733,543",,,,,,,,,
28,			AccumulatedDepreciation,"-3,229,000,000","-2,587,000,000","-2,124,000,000","-1,658,282,084","-1,253,759,503","-772,268,598","-532,570,330","-386,125,933","-319,682,416","-244,570,938","-188,800,245","-139,597,407","-88,299,708","-51,936,087.192","-32,223,964.095","-20,843,758.625","-16,120,215.336","-10,224,326.509",,,,
29,		GoodwillAndOtherIntangibleAssets,"72,697,000,000","71,572,000,000","71,843,000,000","70,093,128,577","70,039,500,293","56,800,684,255","2,665,278,947","1,436,661,000","1,254,728,045","1,218,482,858","1,161,529,338","498,710,810","199,698,730","82,717,144.839","84,032,402.103","10,323,116.187","10,738,209.226","11,233,068.755","10,503,227.904",,,
30,			Goodwill,"59,353,000,000","58,308,000,000","58,026,000,000","56,246,051,292","56,015,185,590","45,690,440,903","1,892,507,708","972,531,184","822,585,341","798,601,767","758,231,441","322,936,838","63,689,736","14,616,822.233","14,583,508.3","9,519,738.349",,,,,,
31,			OtherIntangibleAssets,"13,344,000,000","13,264,000,000","13,817,000,000","13,847,077,285","14,024,314,703","11,110,243,352","772,771,239","464,129,816","432,142,704","419,881,091","403,297,897","175,773,972","136,008,994","68,100,322.606","69,448,893.803","803,377.838","10,738,209.226","11,233,068.755","10,503,227.904",,,
32,		InvestmentsAndAdvances,"47,943,000,000","51,278,000,000","26,874,000,000","25,573,785,268","20,532,822,365","13,870,523,498","5,318,756,447","2,857,213,480","1,437,247,949","1,305,145,043","1,730,087,245","801,246,476","383,443,499",,,,,,,,,
33,		NonCurrentAccountsReceivable,"25,000,000","25,000,000","229,000,000","218,353,359","599,913,241","543,911,586","510,039,284","8,166,667",,,,,,,,,,,,,,
34,		NonCurrentNoteReceivables,,"21,000,000",0,"19,000,000","215,673,057","578,524,154","192,871,939","178,584,102",,,,,,,,,,,,,,
35,		DuefromRelatedPartiesNonCurrent,"25,000,000","25,000,000","229,000,000","218,353,359","599,913,241","543,911,586","510,039,284","8,166,667",,,,,,,,,,,,,,
36,		NonCurrentDeferredAssets,"1,395,000,000","976,000,000","850,000,000","461,969,275","375,311,594","405,334,569",,,,,,,,,,,,,,,,
37,			NonCurrentDeferredTaxesAssets,"1,395,000,000","976,000,000","850,000,000","461,969,275","375,311,594","405,334,569",,,,,,,,,,,,,,,,
38,		NonCurrentPrepaidAssets,"288,000,000","333,000,000","477,000,000","350,851,966","397,966,906","303,689,728","188,893,749","144,224,741","144,714,091",,,,,,,,,,,,,
39,		OtherNonCurrentAssets,"123,000,000","667,000,000","291,000,000","489,068,290","749,312,291","183,096,240","117,767,262","414,960,911","65,904,219","155,360,492",,"143,195,191","169,998,765","227,836,094.698","160,455,418.893","120,764,672.466","27,215,560.51","13,504,642.784","8,535,644.181",,,
40,TotalLiabilitiesNetMinorityInterest,"85,682,000,000","94,466,000,000","97,097,000,000","75,575,447,910","68,893,149,166","55,157,663,979","20,913,189,425","12,088,388,503","5,084,871,395","2,616,368,945","1,926,281,225","1,170,051,399","629,478,118","674,633,985.248","423,124,631.65","270,424,603.27","138,743,764.2","63,928,443.839","138,072,381.07","121,432,000","103,890,000",
41,	CurrentLiabilities,"58,369,000,000","69,182,000,000","68,784,000,000","42,159,932,401","30,295,026,186","33,666,094,068","12,714,702,781","6,368,008,698","3,910,144,242","2,568,060,253","1,880,898,515","1,158,541,462","626,037,525","673,006,654.491","420,689,191.69","270,424,603.27","138,743,764.2","63,928,443.839","13,095,078.196","12,962,000","9,736,000",
42,		PayablesAndAccruedExpenses,"16,690,000,000","26,991,000,000","22,934,000,000","17,398,107,728","15,018,142,522","14,889,612,123","5,135,937,175","3,141,477,907","2,041,799,845","1,331,684,151","1,285,161,363","881,749,413","438,461,109","324,688,138.337","212,802,406.833","110,121,869.9","30,150,321.97","14,696,630.159","1,001,473.84",,,
43,			Payables,"11,559,000,000","20,956,000,000","18,780,000,000","13,825,640,481","12,684,290,323","12,772,259,600","3,885,376,852","2,475,067,697","1,583,870,822","1,169,845,620","1,163,842,062","793,494,417","380,415,047","231,236,295.319","151,280,147.428","72,382,980.397","30,150,321.97","14,696,630.159","1,001,473.84",,,
44,				AccountsPayable,"4,506,000,000","12,294,000,000","11,714,000,000","7,459,203,252","7,278,791,082","5,944,501,681","2,304,111,525","1,637,545,824","1,023,672,151","763,256,074","595,283,281","291,045,743","138,657,593","231,236,295.319","151,280,147.428","72,382,980.397","30,150,321.97","14,696,630.159","1,001,473.84",,,
45,				TotalTaxPayable,"1,217,000,000","1,449,000,000","1,019,000,000","927,463,089","1,084,241,429","1,641,379,425","339,452,319","315,299,656","216,456,010","220,604,123","161,772,241","142,256,695","54,745,686",,,,,,,,,
46,				DividendsPayable,,,,,,,,,,,,,0,,,,,,,,,
47,				DuetoRelatedPartiesCurrent,"241,000,000","400,000,000","492,000,000","418,500,869","837,421,345","3,296,151,348","17,049,103","11,216,780","10,395,726","9,195,558",,,,,,,,,,,,
48,				OtherPayable,"5,595,000,000","6,813,000,000","5,555,000,000","5,020,473,271","3,483,836,467","1,890,227,146","1,224,763,905","511,005,437","333,346,935","176,789,865","406,786,540","360,191,979","187,011,768",,0,0,,0,,,,
49,			CurrentAccruedExpenses,"5,131,000,000","6,035,000,000","4,154,000,000","3,572,467,247","2,333,852,199","2,117,352,523","1,250,560,323","666,410,210","457,929,023","161,838,531","121,319,301","88,254,996","58,046,062","93,451,843.018","61,522,259.405","37,738,889.503",,,,,,
50,				InterestPayable,,,,"68,413,048","103,016,365","84,604,548","32,931,518","13,838,961",,,,,,,,,,,,,,
51,		CurrentProvisions,,,"367,000,000","367,448,156",,,,,,,,,,,,,,,,,,
52,		PensionandOtherPostRetirementBenefitPlansCurrent,,,,"178,771,740","168,404,481","92,206,022","80,799,443","257,641,763",,"145,524,036",,"130,539,660",,,,,,,,,,
53,		CurrentDebtAndCapitalLeaseObligation,"34,074,000,000","30,516,000,000","36,011,000,000","16,316,282,473","6,887,309,589","12,710,213,398","3,560,488,641","774,599,341","453,478,628",,,,"187,576,416",,,,,,,,,
54,			CurrentDebt,"33,665,000,000","30,516,000,000","36,011,000,000","16,316,282,473","6,887,309,589","12,710,213,398","3,560,488,641","774,599,341","453,478,628",,,,"187,576,416",,,,,,,,,
55,				LineOfCredit,,0,"608,000,000",,,,,,,,,,,,,,,,,,,
56,				OtherCurrentBorrowings,"33,665,000,000","30,516,000,000","36,011,000,000","16,316,282,473","6,887,309,589","12,710,213,398","3,560,488,641",,,,,,,,,,,,,,,
57,			CurrentCapitalLeaseObligation,"409,000,000",,,,,,,,,,,,,,,,,,,,,
58,		CurrentDeferredLiabilities,"7,605,000,000","11,675,000,000","9,472,000,000","7,899,322,304","8,221,169,594","5,974,062,525","3,937,477,522","2,451,931,450","1,414,865,769","1,090,852,066",,"276,792,049",,,,"160,049.064",,,,,,
59,			CurrentDeferredRevenue,"7,605,000,000","11,675,000,000","9,472,000,000","7,899,322,304","8,221,169,594","5,974,062,525","3,937,477,522","2,451,931,450","1,414,865,769","1,090,852,066",,"276,792,049",,,,"160,049.064",,,,,,
60,		OtherCurrentLiabilities,"12,593,000,000",,,,,,,0,,,"595,737,152","276,792,049","367,044,095","348,318,516.155","207,886,784.858","160,142,684.306","108,593,442.23","49,231,813.68","12,093,604.356",,,
61,	TotalNonCurrentLiabilitiesNetMinorityInterest,"27,313,000,000","25,284,000,000","28,313,000,000","33,415,515,509","38,598,122,980","21,491,569,911","8,198,486,644","5,720,379,805","1,174,727,153","48,308,692","45,382,710","11,509,937","3,440,593","1,627,330.756","2,435,439.96",0,0,0,"124,977,302.874","108,470,000","94,154,000",
62,		LongTermDebtAndCapitalLeaseObligation,"23,336,000,000","20,286,000,000","24,146,000,000","29,220,254,767","34,650,673,553","18,354,608,260","8,065,980,000","5,657,182,650","1,121,418,000",,,,"812,500",,,,,,,,,
63,			LongTermDebt,"22,718,000,000","19,537,000,000","24,146,000,000","29,220,254,767","34,650,673,553","18,354,608,260","8,065,980,000","5,657,182,650","1,121,418,000",,,,"812,500",,,,,,,,,
64,			LongTermCapitalLeaseObligation,"618,000,000","749,000,000",,,,,,,,,,,,,,,,,,,,
65,		NonCurrentDeferredLiabilities,"3,574,000,000","3,592,000,000","3,838,000,000","3,847,440,251","3,607,882,808","3,045,259,390","132,506,644","63,197,155","53,309,153","48,308,692","45,382,710","11,509,937",,,,,,,,,,
66,			NonCurrentDeferredTaxesLiabilities,"3,574,000,000","3,592,000,000","3,838,000,000","3,847,440,251","3,607,882,808","3,045,259,390","132,506,644","63,197,155","53,309,153","48,308,692","45,382,710","11,509,937",,,,,,,,,,
67,		PreferredSecuritiesOutsideStockEquity,0,"1,142,000,000",,,,,,,,,,,,,,,,,"124,977,302.874",,,
68,		OtherNonCurrentLiabilities,"403,000,000","264,000,000","329,000,000","347,820,491","339,566,619","91,702,261",,0,,,,,"2,628,093","1,627,330.756","2,435,439.96",0,,0,,"108,470,000","94,154,000",
69,TotalEquityGrossMinorityInterest,"101,567,000,000","105,703,000,000","88,733,000,000","86,473,029,403","75,520,752,502","63,684,927,981","10,377,727,588","8,730,085,959","6,584,879,613","7,145,065,833","6,189,922,788","2,986,708,298","1,931,088,198","1,453,362,884.074","1,027,500,029.88","765,900,069.708","601,974,294.815","493,374,238.343","-40,806,000.664","-12,507,000","14,000,000",
70,	StockholdersEquity,"100,354,000,000","103,442,000,000","86,715,000,000","84,693,813,552","71,536,834,710","44,550,729,734","9,529,179,295","8,530,395,531","6,489,632,075","7,042,294,864","6,103,692,771","2,925,047,919","1,931,088,198","1,452,202,450.2","1,026,827,815.203","765,028,309.325","601,371,678.607","492,810,488.049","-41,634,057.007","-12,507,000","14,000,000",
71,		CapitalStock,"6,000,000","6,000,000","5,000,000","5,173,301","4,960,354","4,121,245","3,085,272","3,033,490","2,979,144","2,939,527","2,926,132","2,801,334","2,761,259","2,746,147.589","2,698,605.585","2,653,226.599","2,613,544.405","2,498,925.141","1,146,141.566",,,
72,			PreferredStock,,,,,,,,,,,,,,,,,,,"357,737.227",,,
73,			CommonStock,"6,000,000","6,000,000","5,000,000","5,173,301","4,960,354","4,121,245","3,085,272","3,033,490","2,979,144","2,939,527","2,926,132","2,801,334","2,761,259","2,746,147.589","2,698,605.585","2,653,226.599","2,613,544.405","2,498,925.141","788,404.339",,,
74,			OtherCapitalStock,,,,,,,,0,,,,,,,0,0,,0,,,,
75,		AdditionalPaidInCapital,"83,960,000,000","83,614,000,000","73,876,000,000","71,341,098,032","65,819,998,701","37,991,678,952","4,828,021,816","4,088,484,766","3,818,256,227","3,465,924,424","3,073,551,037","1,219,815,250","967,687,772","792,473,808.625","626,930,516.908","525,143,504.049","511,367,550.679","498,653,711.287",,,,
76,		RetainedEarnings,"19,470,000,000","22,803,000,000","15,943,000,000","8,695,442,393","6,699,580,613","8,198,838,659","5,726,024,997","5,498,934,733","4,515,841,767","3,806,608,747","2,734,858,610","1,707,684,596","1,060,620,258","632,498,232.672","359,541,921.858","203,553,183.338","69,010,557.409","-10,454,152.787","-41,803,815.593",,,
77,		TreasuryStock,"2,111,000,000","2,111,000,000","2,111,000,000","2,110,820,623","2,235,574,510","2,372,927,372","1,605,630,913","1,551,141,268","1,891,888,900","158,761,225",,,,,,,,,,,,
78,		GainsLossesNotAffectingRetainedEarnings,"-971,000,000","-870,000,000","-998,000,000","6,762,920,449","1,247,869,552","729,018,250","577,678,123","491,083,810","44,443,837","-172,466,277","198,972,084","-77,742,443","-175,929,389","24,484,261.314","37,656,770.853","33,678,395.339","18,380,026.114","2,112,004.41","-976,382.98",,,
79,			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,"-36,473,029.881","-16,085,649.89","-7,642,722.261","1,382,061.977","1,576,010.753","101,207.806",,,
80,			OtherEquityAdjustments,"-971,000,000","-870,000,000","-998,000,000","6,762,920,449","1,247,869,552","729,018,250","577,678,123","491,083,810","44,443,837",,,,,"60,957,291.196","53,742,420.743","41,321,117.6","16,997,964.137","535,993.656","-1,077,590.786",,,
81,		OtherEquityInterest,,,,,,,,,,"98,049,668","93,384,908","72,489,182","75,948,298",,,,,,,,,
82,	MinorityInterest,"1,213,000,000","2,261,000,000","2,018,000,000","1,779,215,851","3,983,917,792","19,134,198,247","848,548,293","199,690,428","95,247,538","102,770,969","86,230,017","61,660,379","2,628,093","1,160,433.873","672,214.678","871,760.383","602,616.207","563,750.293","828,056.342",0,0,
83,TotalCapitalization,"123,072,000,000","122,979,000,000","110,861,000,000","113,914,068,319","106,187,508,263","62,905,337,994","17,595,159,295","14,187,578,181","7,611,050,075","7,042,294,864","6,103,692,771","2,925,047,919","1,931,900,698","1,452,202,450.2","1,026,827,815.203","765,028,309.325","601,371,678.607","492,810,488.049","-41,634,057.007","-12,507,000","14,000,000",
84,PreferredStockEquity,,,,,,,,,,,,,,,,,,,"357,737.227",,,
85,CommonStockEquity,"100,354,000,000","103,442,000,000","86,715,000,000","84,693,813,552","71,536,834,710","44,550,729,734","9,529,179,295","8,530,395,531","6,489,632,075","7,042,294,864","6,103,692,771","2,925,047,919","1,931,088,198","1,452,202,450.2","1,026,827,815.203","765,028,309.325","601,371,678.607","492,810,488.049","-41,991,794.234","-12,507,000","14,000,000",
86,CapitalLeaseObligations,"1,027,000,000","749,000,000",,,,,,,,,,,,,,,,,,,,
87,NetTangibleAssets,"27,657,000,000","31,870,000,000","14,872,000,000","14,600,684,975","1,497,334,417","-12,249,954,521","6,863,900,348","7,093,734,531","5,234,904,030","5,823,812,006","4,942,163,433","2,426,337,109","1,731,389,468","1,369,485,305.361","942,795,413.1","754,705,193.138","590,633,469.381","481,577,419.294","-52,137,284.911","-12,507,000","14,000,000",
88,WorkingCapital,"-358,000,000","-1,227,000,000","10,610,000,000","17,066,887,748","15,616,415,654","6,934,774,363","4,361,980,143","7,997,711,170","3,733,075,271","3,830,482,262","2,690,009,935","1,147,754,354","1,005,269,479","876,858,316.059","631,887,145.935","581,238,133.608","532,122,859.485","445,353,195.16","46,423,025.624",,,
89,InvestedCapital,"156,737,000,000","153,495,000,000","146,872,000,000","130,230,350,792","113,074,817,852","75,615,551,392","21,155,647,936","14,962,177,522","8,064,528,703","7,042,294,864","6,103,692,771","2,925,047,919","2,119,477,114","1,452,202,450.2","1,026,827,815.203","765,028,309.325","601,371,678.607","492,810,488.049","-41,991,794.234","-12,507,000","14,000,000",
90,TangibleBookValue,"27,657,000,000","31,870,000,000","14,872,000,000","14,600,684,975","1,497,334,417","-12,249,954,521","6,863,900,348","7,093,734,531","5,234,904,030","5,823,812,006","4,942,163,433","2,426,337,109","1,731,389,468","1,369,485,305.361","942,795,413.1","754,705,193.138","590,633,469.381","481,577,419.294","-52,495,022.138","-12,507,000","14,000,000",
91,TotalDebt,"57,410,000,000","50,802,000,000","60,157,000,000","45,536,537,240","41,537,983,142","31,064,821,658","11,626,468,641","6,431,781,991","1,574,896,628",,,,"188,388,916",,,,,,,,,
92,NetDebt,"38,287,000,000","30,130,000,000","38,627,000,000","27,293,545,553","23,103,301,891","11,849,146,984","6,325,580,842",,,,,,,,,,,,,,,
93,ShareIssued,"623,060,104","616,124,200","576,415,576","564,238,344","539,221,768","409,337,824","307,761,952","300,842,704","293,759,520","288,738,440","287,081,304","272,439,552","267,744,184","265,549,544","261,198,024","256,300,872","252,520,320","243,239,128","243,239,152","243,239,152","243,239,152",
94,OrdinarySharesNumber,"599,627,136","592,691,232","552,982,592","540,805,232","513,243,296","380,718,968","281,175,856","270,626,008","258,837,072","286,795,784","287,081,304","272,439,552","267,744,184","265,549,544","261,198,024","256,300,872","252,520,320","243,239,128","243,239,152","243,239,152","243,239,152",
95,TreasurySharesNumber,"23,432,968","23,432,968","23,432,984","23,433,112","25,978,472","28,618,856","26,586,096","30,216,696","34,922,448","1,942,656",,,,,,,,,,,,
0,TotalRevenue,"18,316,000,000","35,666,000,000","30,965,000,000","26,779,631,018","19,228,439,814","10,897,568,061","7,346,918,369","5,386,745,542","4,158,791,249","3,498,084,628","2,881,233,497","2,122,561,976","1,588,338,796","1,289,127,635.617","833,321,296.808","521,437,840.211","333,820,248.09","173,176,861.575","100,060,497.304","43,984,000","6,453,000","18,316,000,000"
1,	OperatingRevenue,"16,396,000,000","33,255,000,000","29,280,000,000","25,462,006,669","19,053,796,453","11,211,725,933","7,580,275,634","5,578,628,409","4,282,203,173","3,726,304,192","2,881,233,497","2,122,561,976","1,588,338,796","1,289,127,635.617","833,321,296.808","521,437,840.211","333,820,248.09","173,176,861.575","100,060,497.304","43,984,000","6,453,000","16,396,000,000"
2,	ExciseTaxes,"11,000,000","50,000,000","139,000,000","197,354,446","559,646,824","599,378,347","425,638,738","330,271,520","250,401,009","228,219,564",,,,,,,,,,,,"11,000,000"
3,CostOfRevenue,"4,031,000,000","7,372,000,000","6,324,000,000","4,678,209,103","4,729,750,192","3,043,439,819","2,100,606,413","1,386,767,067","1,037,791,093","805,129,784","625,261,342","450,602,773","326,610,463","236,565,446.145","153,002,357.86","88,663,556.455","48,475,306.664","25,658,548.111","13,674,634.855","7,940,000","1,950,000","4,031,000,000"
4,GrossProfit,"14,285,000,000","28,294,000,000","24,641,000,000","22,101,421,915","14,498,689,622","7,854,128,242","5,246,311,956","3,999,978,475","3,121,000,156","2,692,954,844","2,255,972,155","1,671,959,203","1,261,728,333","1,052,562,189.472","680,318,938.948","432,774,283.756","285,344,941.426","147,518,313.464","86,385,862.45","36,044,000","4,503,000","14,285,000,000"
5,OperatingExpense,"15,708,000,000","23,254,000,000","22,036,000,000","19,175,251,371","16,067,168,108","7,473,085,297","5,397,109,100","3,161,536,791","2,466,394,344","1,626,960,674","1,201,846,868","850,037,963","694,187,293","923,777,873.323","371,289,448.218","213,182,220.73","149,674,995.05","89,432,910.744","63,112,975.953","55,696,000","36,243,000","15,708,000,000"
6,	SellingGeneralAndAdministration,"8,041,000,000","12,584,000,000","12,416,000,000","10,916,018,863","8,379,746,602","4,176,392,361","3,075,760,347","1,915,817,599","1,554,489,622","1,025,475,307","747,993,868","541,586,615","458,386,789","381,806,032.891","265,440,857.525","155,648,861.177","111,222,864.127","68,357,237.533","48,478,025.871","46,980,000","29,055,000","8,041,000,000"
7,		GeneralAndAdministrativeExpense,"3,636,000,000","3,289,000,000","2,820,000,000","2,621,832,381","2,518,819,170","1,088,402,408","861,550,628","646,404,879","570,487,457","400,875,621","294,701,167","196,297,316","171,693,601",,,,,,,"16,621,000","11,677,000","3,636,000,000"
8,			OtherGandA,"3,636,000,000","3,289,000,000","2,820,000,000","2,621,832,381","2,518,819,170","1,088,402,408","861,550,628","646,404,879","570,487,457","400,875,621","294,701,167","196,297,316","171,693,601",,,,,,,"16,621,000","11,677,000","3,636,000,000"
9,		SellingAndMarketingExpense,"4,405,000,000","9,295,000,000","9,596,000,000","8,294,186,482","5,860,927,432","3,087,989,953","2,214,209,719","1,269,412,720","984,002,165","624,599,686","453,292,701","345,289,299","286,693,188",,,,,,,"30,359,000","17,378,000","4,405,000,000"
10,	ResearchAndDevelopment,"7,667,000,000","10,670,000,000","9,620,000,000","8,259,232,508","7,687,421,506","3,296,692,936","2,321,348,753","1,245,719,192","911,904,722","601,485,367","453,853,000","308,451,348","235,800,504","177,556,719.294","105,848,590.693","57,533,359.553","37,959,225.037","20,687,444.532","13,366,499.883","7,759,000","6,817,000","7,667,000,000"
11,	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,"492,897.607","388,228.679","353,283.62",,,
12,		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,"492,897.607","388,228.679","353,283.62",,,
13,			Amortization,,,,,,,,,,,,,,,,,"492,897.607","388,228.679","353,283.62",,,
14,				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,"492,897.607","388,228.679","353,283.62",,,
15,	OtherOperatingExpenses,,,,,,,,,,,,,,"364,415,121.138",,,8.278,,"915,166.578","957,000","371,000",
