name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
"	DepreciationAmortizationDepletionIncomeStatement",,,,,,,,"8,000,000","6,000,000","6,000,000",,,,,,,,,,,,"191,106,000","190,900,000","170,000,000","90,100,000","71,000,000","39,300,000","31,700,000","32,400,000","33,900,000","31,800,000","33,600,000","32,300,000"
"		DepreciationAndAmortizationInIncomeStatement",,,,,,,,"8,000,000","6,000,000",,,,,,,,,,,,,"191,106,000","190,900,000","170,000,000","90,100,000","71,000,000","39,300,000","31,700,000","32,400,000","33,900,000","31,800,000","33,600,000","32,300,000"
"	OtherTaxes","204,000,000","292,000,000","250,000,000","151,000,000","124,000,000","310,000,000","257,000,000","194,000,000","180,000,000","147,000,000","76,500,000","29,000,000","543,400,000","135,400,000","66,500,000","137,200,000","92,600,000","57,000,000","68,000,000","70,000,000","77,200,000","77,085,000","80,100,000","70,300,000","40,200,000","43,400,000","32,400,000","18,900,000","19,200,000","18,600,000","17,200,000","19,500,000",
"	OtherOperatingExpenses","33,000,000","54,000,000","51,000,000","20,000,000","17,000,000","39,000,000","18,000,000","13,000,000","12,000,000",,"16,800,000","-378,800,000","-459,500,000","-55,300,000","-98,400,000","-49,300,000","-59,700,000","-33,200,000","-25,000,000","-40,200,000",,,,,,,,,,,,,
OperatingIncome,"1,691,000,000","2,082,000,000","2,215,000,000","290,000,000","477,000,000","1,681,000,000","2,127,000,000","2,352,000,000","2,999,000,000","3,922,000,000","2,303,600,000","1,192,200,000","8,716,900,000","1,588,500,000","875,500,000","892,600,000","517,900,000","260,500,000","166,900,000","269,700,000","294,600,000","214,892,000","413,300,000","415,100,000","292,900,000","207,600,000","86,500,000","60,300,000","46,400,000","43,900,000","30,300,000","76,300,000","114,400,000"
NetNonOperatingInterestIncomeExpense,"-487,000,000","-500,000,000","-487,000,000","-221,000,000","-202,000,000","-179,000,000","-169,000,000","-131,000,000","-102,000,000","-159,000,000","-99,100,000","-120,900,000","-62,800,000",,,,,,,,,,,,,,,,,,,,
"	InterestIncomeNonOperating","1,000,000","5,000,000","17,000,000","2,000,000","3,000,000","2,000,000","1,000,000","3,000,000","4,000,000",,"7,700,000","10,500,000","17,700,000",,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","488,000,000","505,000,000","504,000,000","223,000,000","205,000,000","181,000,000","170,000,000","134,000,000","106,000,000","159,000,000","106,800,000","131,400,000","80,500,000",,,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,"54,000,000","51,000,000","17,000,000","14,000,000","13,000,000","15,000,000","13,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-822,000,000","-274,000,000","-1,852,000,000","-98,000,000","91,000,000","219,000,000","206,000,000","251,000,000","8,000,000","384,000,000",,,,"55,300,000","98,400,000","49,300,000","-290,500,000","-599,000,000","25,000,000","40,200,000","7,900,000","-1,157,110,000","32,800,000","32,400,000","6,600,000","16,600,000","12,000,000",,"10,100,000","4,700,000","10,400,000","7,200,000","2,500,000"
"	GainOnSaleOfSecurity","232,000,000","-42,000,000","10,000,000","-21,000,000","24,000,000","98,000,000","125,000,000","110,000,000","151,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest","73,000,000","66,000,000",,"7,000,000","95,000,000","121,000,000","102,000,000","195,000,000","278,000,000","261,000,000",,,,"76,200,000",,,,,,,,,,,,,,,,,,,
"	SpecialIncomeCharges","-944,000,000","-242,000,000","-1,822,000,000","-84,000,000","-28,000,000",0,"-21,000,000","-3,000,000","-384,000,000","123,000,000",,,,"-20,900,000","98,400,000","49,300,000","-290,500,000","-599,000,000","25,000,000","40,200,000","7,900,000","-1,157,110,000","32,800,000","32,400,000","6,600,000","16,600,000","12,000,000",,"10,100,000","4,700,000","10,400,000","7,200,000","2,500,000"
"		RestructuringAndMergernAcquisition","60,000,000","98,000,000","13,000,000","84,000,000","18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		ImpairmentOfCapitalAssets","824,000,000","120,000,000","1,809,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		WriteOff","6,000,000","144,000,000",,0,"10,000,000",0,"38,000,000",0,"341,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges","48,000,000",,,,,,"-17,000,000","3,000,000","43,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"		GainOnSaleOfBusiness","-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","-183,000,000","-56,000,000","-40,000,000","-3,000,000","-3,000,000","-26,000,000",,"-51,000,000","-37,000,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"382,000,000","1,308,000,000","-124,000,000","-29,000,000","366,000,000","1,721,000,000","2,164,000,000","2,472,000,000","2,905,000,000","4,147,000,000","2,449,000,000","1,071,300,000","4,572,300,000","1,513,800,000","789,900,000","810,300,000","430,300,000","-146,900,000","83,800,000","189,400,000","265,200,000","-404,525,000","378,500,000","366,200,000","252,700,000","182,400,000","94,700,000","51,100,000","47,400,000","35,600,000",,,"105,600,000"
TaxProvision,"-77,000,000","316,000,000","-93,000,000","-183,000,000","43,000,000","451,000,000","628,000,000","687,000,000","826,000,000","1,066,000,000","642,800,000","83,500,000","1,077,100,000","416,200,000","158,100,000","267,400,000","131,700,000","-20,600,000","30,200,000","68,200,000","67,200,000","7,469,000","117,500,000","69,100,000","43,700,000","22,900,000","3,500,000","3,400,000","1,600,000","-3,500,000",,,"16,700,000"
NetIncomeCommonStockholders,"459,000,000","992,000,000","3,573,000,000","327,000,000","323,000,000","1,270,000,000","1,536,000,000","1,785,000,000","2,079,000,000","3,081,000,000","1,806,200,000","987,800,000","3,495,200,000","1,103,600,000","631,800,000","542,900,000","298,600,000","-126,300,000","53,600,000","121,200,000","198,000,000","-411,994,000","261,000,000","297,100,000","209,000,000","159,500,000","91,200,000","47,700,000","45,800,000","39,100,000","21,900,000","71,200,000","88,900,000"
"	NetIncome","459,000,000","992,000,000","3,573,000,000","327,000,000","323,000,000","1,270,000,000","1,536,000,000","1,785,000,000","2,079,000,000","3,081,000,000","1,806,200,000","987,800,000","3,495,200,000","1,103,600,000","631,800,000","542,900,000","298,600,000","-126,300,000","53,600,000","121,200,000","198,000,000","-411,994,000","261,000,000","297,100,000","209,000,000","159,500,000","91,200,000","47,700,000","45,800,000","39,100,000","21,900,000","71,200,000","88,900,000"
"		NetIncomeIncludingNoncontrollingInterests","459,000,000","992,000,000","3,573,000,000","327,000,000","323,000,000","1,270,000,000","1,536,000,000","1,785,000,000","2,079,000,000","3,081,000,000","1,806,200,000","987,800,000","3,495,200,000","1,103,600,000","631,800,000","542,900,000","298,600,000","-126,300,000","53,600,000","121,200,000","198,000,000","-411,994,000","261,000,000","297,100,000","209,000,000","159,500,000","91,200,000","47,700,000","45,800,000","39,100,000","21,900,000","71,200,000","88,900,000"
"			NetIncomeContinuousOperations","459,000,000","992,000,000","-31,000,000","154,000,000","323,000,000","1,270,000,000","1,536,000,000","1,785,000,000","2,079,000,000","3,081,000,000","1,806,200,000","987,800,000","3,495,200,000","1,103,600,000","631,800,000","542,900,000","298,600,000","-126,300,000","53,600,000","121,200,000","198,000,000","-411,994,000","261,000,000","297,100,000","209,000,000","159,500,000","91,200,000","47,700,000","45,800,000","39,100,000","21,900,000","71,200,000","88,900,000"
"			NetIncomeDiscontinuousOperations",,0,"3,604,000,000","173,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"459,000,000","992,000,000","3,573,000,000","327,000,000","323,000,000","1,270,000,000","1,536,000,000","1,785,000,000","2,079,000,000","3,081,000,000","1,806,200,000","987,800,000","3,495,200,000","1,103,600,000","631,800,000","542,900,000","298,600,000","-126,300,000","53,600,000","121,200,000","198,000,000","-411,994,000","261,000,000","297,100,000","209,000,000","159,500,000","91,200,000","47,700,000","45,800,000","39,100,000","21,900,000","71,200,000","88,900,000"
BasicEPS,,1.7,5.72,0.975,1,3.8,4.575,5.15,6.05,9,5.1,2.783,9.475,2.917,1.689,1.389,0.769,-0.336,0.143,0.325,0.525,-1.056,0.669,0.789,0.638,0.511,0.294,0.167,0.164,0.14,0.082,0.283,0.28
DilutedEPS,,1.7,5.72,0.975,1,3.8,4.55,5.1,5.925,8.775,4.95,2.708,9.175,2.833,1.653,1.358,0.75,-0.336,0.143,0.322,0.525,-1.056,0.669,0.789,0.638,0.511,0.294,0.167,0.164,0.14,0.082,0.283,0.28
BasicAverageShares,,"582,269,000","624,900,000","336,031,600","335,571,200","333,656,400","335,240,400","345,838,400","344,013,200","342,270,800","354,548,400","355,170,660","368,976,000","378,769,200","374,256,000","390,844,800","388,681,200","376,056,000","374,679,612","372,923,077","377,142,857","390,310,105","389,875,519","376,605,634","327,843,137","312,377,595","310,045,895","286,486,486","279,737,364","279,011,685","267,521,759","251,545,663","317,188,476"
DilutedAverageShares,,"583,102,000","624,900,000","336,126,400","335,783,600","334,939,600","337,817,600","349,592,800","350,362,800","350,654,800","364,437,200","364,726,154","380,925,600","389,169,600","382,428,000","399,880,800","398,660,400","376,056,000","374,679,612","376,137,931","377,142,857","391,261,608","390,170,275","376,605,634","327,843,137","312,377,595","310,045,895","286,486,486","279,737,364","279,011,685","267,521,759","251,545,663","317,188,476"
TotalOperatingIncomeAsReported,"902,000,000","1,862,000,000","414,000,000","209,000,000","582,000,000","1,913,000,000","2,348,000,000","2,616,000,000","3,019,000,000","4,306,000,000","2,548,100,000","1,192,200,000","4,635,100,000","1,588,500,000","875,500,000","892,600,000","514,300,000","-55,600,000","166,900,000","269,700,000","270,300,000","-376,625,000","413,300,000","415,100,000","292,900,000","207,600,000","86,500,000","60,300,000","46,400,000","43,900,000","30,300,000","76,300,000","114,400,000"
RentExpenseSupplemental,,,"38,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalExpenses,"19,217,000,000","17,941,000,000","17,421,000,000","4,257,000,000","3,979,000,000","4,598,000,000","4,988,000,000","4,953,000,000","4,928,000,000","4,793,000,000","4,235,000,000","2,784,500,000","729,600,000","3,645,700,000","2,891,200,000","2,954,600,000","2,726,500,000","2,205,300,000","1,746,900,000","1,803,000,000","1,937,000,000","1,846,172,000","1,894,500,000","1,910,800,000","1,111,000,000","699,300,000","338,900,000","252,900,000","244,600,000","221,300,000","208,200,000","201,600,000","191,400,000"
InterestIncome,"1,000,000","5,000,000","17,000,000","2,000,000","3,000,000","2,000,000","1,000,000","3,000,000","4,000,000",,"7,700,000","10,500,000","17,700,000",,,,,,,,,,,,,,,,,,,,
InterestExpense,"488,000,000","505,000,000","504,000,000","223,000,000","205,000,000","181,000,000","170,000,000","134,000,000","106,000,000","159,000,000","106,800,000","131,400,000","80,500,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-487,000,000","-500,000,000","-487,000,000","-221,000,000","-202,000,000","-179,000,000","-169,000,000","-131,000,000","-102,000,000","-159,000,000","-99,100,000","-120,900,000","-62,800,000",,,,,,,,,,,,,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"459,000,000","992,000,000","3,573,000,000","327,000,000","323,000,000","1,270,000,000","1,536,000,000","1,785,000,000","2,079,000,000","3,081,000,000","1,806,200,000","987,800,000","3,495,200,000","1,103,600,000","631,800,000","542,900,000","298,600,000","-126,300,000","53,600,000","121,200,000","198,000,000","-411,994,000","261,000,000","297,100,000","209,000,000","159,500,000","91,200,000","47,700,000","45,800,000","39,100,000","21,900,000","71,200,000","88,900,000"
NormalizedIncome,"982,320,000","1,207,840,000","1,300,820,000","231,175,000","326,520,000","1,197,480,000","1,462,160,000","1,707,960,000","2,246,760,000","2,989,617,554.86","1,806,200,000","987,800,000","3,495,200,000","1,118,753,811.60","553,094,948.73","509,869,060.84","500,187,961.89","388,701,361.47","37,609,546.54","95,475,395.99","192,101,809.96","282,272,000","238,382,298.55","270,813,708.36","203,541,353.38","144,984,100.88","79,643,505.81","47,700,000","36,040,928.27","36,280,000","15,660,000","66,880,000","86,795,359.85"
EBIT,"870,000,000","1,813,000,000","380,000,000","194,000,000","571,000,000","1,902,000,000","2,334,000,000","2,606,000,000","3,011,000,000","4,306,000,000","2,555,800,000","1,202,700,000","4,652,800,000","1,588,500,000","875,500,000","892,600,000","517,900,000","260,500,000","166,900,000","269,700,000","294,600,000","214,892,000","413,300,000","415,100,000","292,900,000","207,600,000","86,500,000","60,300,000","46,400,000","43,900,000","30,300,000","76,300,000","114,400,000"
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReconciledCostOfRevenue,"15,669,000,000","14,582,000,000","14,244,000,000","3,872,000,000","3,626,000,000","4,010,000,000","4,468,000,000","3,857,000,000","3,945,000,000","3,946,000,000","3,913,600,000","2,950,700,000","457,300,000","3,353,000,000","2,764,700,000","2,722,200,000","2,563,000,000","2,085,400,000","1,612,200,000","1,673,500,000","1,748,800,000","1,461,687,000","1,507,500,000","1,570,800,000","920,400,000","526,400,000","216,500,000","156,400,000","148,100,000","130,000,000","124,700,000","114,100,000","127,500,000"
ReconciledDepreciation,"1,989,000,000","1,799,000,000","1,592,000,000","692,000,000","695,000,000","685,000,000","701,000,000","666,000,000","578,000,000","489,000,000","410,700,000","312,100,000","327,500,000","291,300,000","242,400,000","242,400,000","240,000,000","227,400,000","219,100,000","185,700,000","187,000,000","191,106,000","190,900,000","170,000,000","90,100,000","71,000,000","39,300,000","31,700,000","32,400,000","33,900,000","31,800,000","33,600,000","32,300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"459,000,000","992,000,000","-31,000,000","154,000,000","323,000,000","1,270,000,000","1,536,000,000","1,785,000,000","2,079,000,000","3,081,000,000","1,806,200,000","987,800,000","3,495,200,000","1,103,600,000","631,800,000","542,900,000","298,600,000","-126,300,000","53,600,000","121,200,000","198,000,000","-411,994,000","261,000,000","297,100,000","209,000,000","159,500,000","91,200,000","47,700,000","45,800,000","39,100,000","21,900,000","71,200,000","88,900,000"
TotalUnusualItemsExcludingGoodwill,"-712,000,000","-284,000,000","-1,812,000,000","-105,000,000","-4,000,000","98,000,000","104,000,000","107,000,000","-233,000,000","123,000,000",,,,"-20,900,000","98,400,000","49,300,000","-290,500,000","-599,000,000","25,000,000","40,200,000","7,900,000","-1,157,110,000","32,800,000","32,400,000","6,600,000","16,600,000","12,000,000",,"10,100,000","4,700,000","10,400,000","7,200,000","2,500,000"
TotalUnusualItems,"-712,000,000","-284,000,000","-1,812,000,000","-105,000,000","-4,000,000","98,000,000","104,000,000","107,000,000","-233,000,000","123,000,000",,,,"-20,900,000","98,400,000","49,300,000","-290,500,000","-599,000,000","25,000,000","40,200,000","7,900,000","-1,157,110,000","32,800,000","32,400,000","6,600,000","16,600,000","12,000,000",,"10,100,000","4,700,000","10,400,000","7,200,000","2,500,000"
NormalizedEBITDA,"3,571,000,000","3,896,000,000","3,784,000,000","991,000,000","1,270,000,000","2,489,000,000","2,931,000,000","3,165,000,000","3,822,000,000","4,672,000,000","2,966,500,000","1,514,800,000","4,980,300,000","1,900,700,000","1,019,500,000","1,085,700,000","1,048,400,000","1,086,900,000","361,000,000","415,200,000","473,700,000","1,563,108,000","571,400,000","552,700,000","376,400,000","262,000,000","113,800,000","92,000,000","68,700,000","73,100,000","51,700,000","102,700,000","144,200,000"
TaxRateForCalcs,0.265,0.24,0.265,0.265,0.12,0.26,0.29,0.28,0.28,0.257,0.262,0.078,0.236,0.275,0.2,0.33,0.306,0.14,0.36,0.36,0.253,0.4,0.31,0.189,0.173,0.126,0.037,0.067,0.034,0.4,0.4,0.4,0.158
TaxEffectOfUnusualItems,"-188,680,000","-68,160,000","-480,180,000","-27,825,000","-480,000","25,480,000","30,160,000","29,960,000","-65,240,000","31,617,554.86",0,0,0,"-5,746,188.40","19,694,948.73","16,269,060.84","-88,912,038.11","-83,998,638.53","9,009,546.54","14,475,395.99","2,001,809.96","-462,844,000","10,182,298.55","6,113,708.36","1,141,353.38","2,084,100.88","443,505.81",0,"340,928.27","1,880,000","4,160,000","2,880,000","395,359.85"
ROA,0.009726225,0.021197034,0.078524021,0.019237557,0.018719212,0.072700212,0.086662153,0.099398597,0.114193123,0.189518361,0.115638985,0.076442092,0.341035048,0.113578824,0.101624578,0.101327012,0.058242959,-0.027653099,0.011439303,0.0263633,0.04776033,-0.105185571,0.057561255,0.067101816,0.083999839,0.061778604,0.088733217,0.043426803,0.045364501,0.03583868,0.019793926,0.064329599,0.078931013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalRevenue,"20,908,000,000","20,023,000,000","19,636,000,000","4,547,000,000","4,456,000,000","6,279,000,000","7,115,000,000","7,305,000,000","7,927,000,000","8,715,000,000","6,538,600,000","3,976,700,000","9,446,500,000","5,234,200,000","3,766,700,000","3,847,200,000","3,244,400,000","2,465,800,000","1,913,800,000","2,072,700,000","2,231,600,000","2,061,064,000","2,307,800,000","2,325,900,000","1,403,900,000","906,900,000","425,400,000","313,200,000","291,000,000","265,200,000","238,500,000","277,900,000","305,800,000"
"	OperatingRevenue","20,908,000,000","20,023,000,000","19,636,000,000","4,547,000,000","4,456,000,000","6,279,000,000","7,115,000,000","7,305,000,000","7,927,000,000","8,715,000,000","6,538,600,000","3,976,700,000","9,446,500,000","5,234,200,000","3,766,700,000","3,847,200,000","3,244,400,000","2,465,800,000","1,913,800,000","2,072,700,000","2,231,600,000","2,061,064,000","2,307,800,000","2,325,900,000","1,403,900,000","906,900,000","425,400,000","313,200,000","291,000,000","265,200,000","238,500,000","277,900,000","305,800,000"
CostOfRevenue,"15,669,000,000","14,582,000,000","14,244,000,000","3,872,000,000","3,626,000,000","4,010,000,000","4,468,000,000","4,515,000,000","4,517,000,000","4,429,000,000","3,913,600,000","2,950,700,000","457,300,000","3,353,000,000","2,764,700,000","2,722,200,000","2,563,000,000","2,085,400,000","1,612,200,000","1,673,500,000","1,748,800,000","1,461,687,000","1,507,500,000","1,570,800,000","920,400,000","526,400,000","216,500,000","156,400,000","148,100,000","130,000,000","124,700,000","114,100,000","127,500,000"
GrossProfit,"5,239,000,000","5,441,000,000","5,392,000,000","675,000,000","830,000,000","2,269,000,000","2,647,000,000","2,790,000,000","3,410,000,000","4,286,000,000","2,625,000,000","1,026,000,000","4,907,400,000","1,881,200,000","1,002,000,000","1,125,000,000","681,400,000","380,400,000","301,600,000","399,200,000","482,800,000","599,377,000","800,300,000","755,100,000","483,500,000","380,500,000","208,900,000","156,800,000","142,900,000","135,200,000","113,800,000","163,800,000","178,300,000"
OperatingExpense,"3,548,000,000","3,359,000,000","3,177,000,000","385,000,000","353,000,000","588,000,000","520,000,000","438,000,000","411,000,000","364,000,000","321,400,000","-166,200,000","272,300,000","292,700,000","126,500,000","232,400,000","163,500,000","119,900,000","134,700,000","129,500,000","188,200,000","384,485,000","387,000,000","340,000,000","190,600,000","172,900,000","122,400,000","96,500,000","96,500,000","91,300,000","83,500,000","87,500,000","63,900,000"
"	SellingGeneralAndAdministration","3,311,000,000","3,013,000,000","2,876,000,000","214,000,000","212,000,000","239,000,000","245,000,000","223,000,000","213,000,000","211,000,000","228,100,000","183,600,000","188,400,000","212,600,000","158,400,000","144,500,000","130,600,000","96,100,000","91,700,000","99,700,000","111,000,000","116,294,000","116,000,000","99,700,000","60,300,000","58,500,000","50,700,000","45,900,000","44,900,000","38,800,000","34,500,000","34,400,000","31,600,000"
"		GeneralAndAdministrativeExpense","498,000,000","508,000,000","539,000,000",,,,,"223,000,000","213,000,000","211,000,000",,,,,,,,,,,,,,,,,,,,,,,
"			SalariesAndWages","69,000,000","104,000,000",,,,,,"102,000,000","99,000,000","98,000,000",,,,,,,,,,,,,,,,,,,,,,,
"			OtherGandA","429,000,000","404,000,000","539,000,000",,,,,"121,000,000","114,000,000","113,000,000",,,,,,,,,,,,,,,,,,,,,,,
"		SellingAndMarketingExpense","2,813,000,000","2,505,000,000","2,337,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	DepreciationAmortizationDepletionIncomeStatement",,,,,,,,"8,000,000","6,000,000","6,000,000",,,,,,,,,,,,"191,106,000","190,900,000","170,000,000","90,100,000","71,000,000","39,300,000","31,700,000","32,400,000","33,900,000","31,800,000","33,600,000","32,300,000"
"		DepreciationAndAmortizationInIncomeStatement",,,,,,,,"8,000,000","6,000,000",,,,,,,,,,,,,"191,106,000","190,900,000","170,000,000","90,100,000","71,000,000","39,300,000","31,700,000","32,400,000","33,900,000","31,800,000","33,600,000","32,300,000"
"	OtherTaxes","204,000,000","292,000,000","250,000,000","151,000,000","124,000,000","310,000,000","257,000,000","194,000,000","180,000,000","147,000,000","76,500,000","29,000,000","543,400,000","135,400,000","66,500,000","137,200,000","92,600,000","57,000,000","68,000,000","70,000,000","77,200,000","77,085,000","80,100,000","70,300,000","40,200,000","43,400,000","32,400,000","18,900,000","19,200,000","18,600,000","17,200,000","19,500,000",
"	OtherOperatingExpenses","33,000,000","54,000,000","51,000,000","20,000,000","17,000,000","39,000,000","18,000,000","13,000,000","12,000,000",,"16,800,000","-378,800,000","-459,500,000","-55,300,000","-98,400,000","-49,300,000","-59,700,000","-33,200,000","-25,000,000","-40,200,000",,,,,,,,,,,,,
OperatingIncome,"1,691,000,000","2,082,000,000","2,215,000,000","290,000,000","477,000,000","1,681,000,000","2,127,000,000","2,352,000,000","2,999,000,000","3,922,000,000","2,303,600,000","1,192,200,000","8,716,900,000","1,588,500,000","875,500,000","892,600,000","517,900,000","260,500,000","166,900,000","269,700,000","294,600,000","214,892,000","413,300,000","415,100,000","292,900,000","207,600,000","86,500,000","60,300,000","46,400,000","43,900,000","30,300,000","76,300,000","114,400,000"
NetNonOperatingInterestIncomeExpense,"-487,000,000","-500,000,000","-487,000,000","-221,000,000","-202,000,000","-179,000,000","-169,000,000","-131,000,000","-102,000,000","-159,000,000","-99,100,000","-120,900,000","-62,800,000",,,,,,,,,,,,,,,,,,,,
"	InterestIncomeNonOperating","1,000,000","5,000,000","17,000,000","2,000,000","3,000,000","2,000,000","1,000,000","3,000,000","4,000,000",,"7,700,000","10,500,000","17,700,000",,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","488,000,000","505,000,000","504,000,000","223,000,000","205,000,000","181,000,000","170,000,000","134,000,000","106,000,000","159,000,000","106,800,000","131,400,000","80,500,000",,,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,"54,000,000","51,000,000","17,000,000","14,000,000","13,000,000","15,000,000","13,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-822,000,000","-274,000,000","-1,852,000,000","-98,000,000","91,000,000","219,000,000","206,000,000","251,000,000","8,000,000","384,000,000",,,,"55,300,000","98,400,000","49,300,000","-290,500,000","-599,000,000","25,000,000","40,200,000","7,900,000","-1,157,110,000","32,800,000","32,400,000","6,600,000","16,600,000","12,000,000",,"10,100,000","4,700,000","10,400,000","7,200,000","2,500,000"
"	GainOnSaleOfSecurity","232,000,000","-42,000,000","10,000,000","-21,000,000","24,000,000","98,000,000","125,000,000","110,000,000","151,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest","73,000,000","66,000,000",,"7,000,000","95,000,000","121,000,000","102,000,000","195,000,000","278,000,000","261,000,000",,,,"76,200,000",,,,,,,,,,,,,,,,,,,
